model_seed,control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
42,cqr_static,30min_3of3,combined,0.3327099232782016,90.98001412602679,932,1795,50.0,80.0,21,9907,68.79861111111111,103,1.497123246189563,6382,44.31944444444444,0.6441909760775208
42,cqr_static,30min_3of3,numerical_only,0.46098869463424563,86.59989821285427,1232,1495,60.0,80.0,21,9907,68.79861111111111,103,1.497123246189563,6382,44.31944444444444,0.6441909760775208
42,cqr_static,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_static,360min_4of36,combined,0.10240348370042372,103.50146858305297,285,2442,40.0,80.0,21,9907,68.79861111111111,17,0.24709801150701524,7901,54.86805555555555,0.7975169072373068
42,cqr_static,360min_4of36,numerical_only,0.077780085914963,104.98452459341947,221,2506,40.0,80.0,21,9907,68.79861111111111,17,0.24709801150701524,7901,54.86805555555555,0.7975169072373068
42,cqr_static,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_static,60min_4of6,combined,0.2509289731466889,97.42750655177711,706,2021,60.0,90.0,21,9907,68.79861111111111,77,1.1192086403553043,6579,45.6875,0.6640759059251035
42,cqr_static,60min_4of6,numerical_only,0.3183877237624446,96.69496473151234,888,1839,80.0,90.0,21,9907,68.79861111111111,77,1.1192086403553043,6579,45.6875,0.6640759059251035
42,cqr_static,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_static,single_sample,combined,0.4408863723945126,75.03102480041335,1204,1523,20.0,60.0,21,9907,68.79861111111111,183,2.6599374179872814,6691,46.46527777777778,0.6753810437064701
42,cqr_static,single_sample,numerical_only,0.5521358486613334,70.17116617088107,1475,1252,40.0,60.0,21,9907,68.79861111111111,183,2.6599374179872814,6691,46.46527777777778,0.6753810437064701
42,persistence_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,persistence_static,180min_3of18,combined,0.5127071330641276,74.29511464303437,1412,1315,40.0,60.0,21,9907,68.79861111111111,56,0.8139699202584031,620,4.305555555555555,0.06258201271828
42,persistence_static,180min_3of18,numerical_only,0.3539444208897056,88.61295260316975,998,1729,50.0,100.0,21,9907,68.79861111111111,56,0.8139699202584031,620,4.305555555555555,0.06258201271828
42,persistence_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,persistence_static,30min_3of3,combined,0.1850230175619891,95.49640348108744,516,2211,30.0,50.0,21,9907,68.79861111111111,8,0.11628141717977188,8,0.05555555555555555,0.0008075098415261935
42,persistence_static,30min_3of3,numerical_only,0.05987394957983193,105.77731092436976,171,2556,30.0,60.0,21,9907,68.79861111111111,8,0.11628141717977188,8,0.05555555555555555,0.0008075098415261935
42,persistence_static,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,persistence_static,360min_4of36,combined,0.37020936091828033,84.03717931851523,1024,1703,40.0,70.0,21,9907,68.79861111111111,48,0.6976885030786313,990,6.875,0.09992934288886646
42,persistence_static,360min_4of36,numerical_only,0.24313463623606482,94.11617583438309,687,2040,40.0,90.0,21,9907,68.79861111111111,48,0.6976885030786313,990,6.875,0.09992934288886646
42,persistence_static,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,persistence_static,60min_4of6,combined,0.18040031960220815,97.55457305407563,504,2223,40.0,50.0,21,9907,68.79861111111111,7,0.10174624003230039,14,0.09722222222222221,0.0014131422226708386
42,persistence_static,60min_4of6,numerical_only,0.09733893557422968,103.82352941176471,278,2449,50.0,50.0,21,9907,68.79861111111111,7,0.10174624003230039,14,0.09722222222222221,0.0014131422226708386
42,persistence_static,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,persistence_static,single_sample,combined,0.9086134453781511,24.62449807956927,2466,261,10.0,50.0,21,9907,68.79861111111111,292,4.244271727061673,345,2.395833333333333,0.03482386191581709
42,persistence_static,single_sample,numerical_only,0.7236068867845646,47.26795652151191,2027,700,10.0,60.0,21,9907,68.79861111111111,292,4.244271727061673,345,2.395833333333333,0.03482386191581709
42,quantile_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
